symbol,marcap,3month_performance,avgvol_10,avgvol_30,avgvol_60,avgvol_90
AAPLDAPPLE INC,125.9,2.101T,8.20%,70.687M,85.427M,90.661M,97.291M
MSFTDMICROSOFT CORP.,253.81,1.912T,11.62%,21.585M,26.019M,26.804M,27.64M
GOOGDALPHABET INC (GOOGLE) CLASS C,2466.09,1.632T,21.83%,1.147M,1.341M,1.367M,1.434M
GOOGLDALPHABET INC (GOOGLE) CLASS A,2402.3,1.629T,19.67%,1.222M,1.598M,1.551M,1.64M
"AMZNDAMAZON.COM, INC.",3198.01,1.613T,8.34%,2.426M,3.817M,3.456M,3.568M
"FBDFACEBOOK, INC.",336.58,954.361B,31.83%,14.453M,19.037M,19.23M,19.195M
BRK.ADBERKSHIRE HATHAWAY INC.,434611,661.433B,11.85%,1.585K,1.966K,1.932K,1.793K
BRK.BDBERKSHIRE HATHAWAY INC. NEW,289.46,661.147B,12.36%,4.326M,4.525M,4.848M,5.011M
BABADALIBABA GROUP HOLDINGS LTD. DR,216.9,587.623B,−4.32%,13.603M,15.903M,16.584M,16.241M
"TSLADTESLA, INC.",605.13,582.94B,7.48%,25.833M,29.852M,31.865M,32.764M
TSMDTAIWAN SEMICONDUCTOR MANUFACTURING COMPANY LTD. DR,118.22,556.788B,3.77%,6M,7.788M,9.523M,10.59M
JPMDJP MORGAN CHASE & CO.,165.66,501.474B,8.34%,11.019M,11.724M,14.02M,13.783M
VDVISA INC.,231.32,493.358B,5.02%,5.584M,6.613M,7.674M,8.553M
NVDADNVIDIA CORPORATION,704.76,439.065B,51.98%,13.565M,9.034M,8.501M,8.734M
JNJDJOHNSON & JOHNSON,164.84,434.089B,4.73%,6.782M,6.712M,7.183M,7.59M
WMTDWALMART INC.,140.9,396.42B,10.18%,7.674M,7.884M,8.209M,8.987M
UNHDUNITEDHEALTH GROUP INCORPORATED,400.25,377.717B,14.30%,2.354M,2.44M,2.783M,3.059M
BACDBANK OF AMERICA CORPORATION,43.12,369.509B,16.13%,40.65M,39.981M,47.827M,49.865M
MADMASTERCARD INCORPORATED,364.08,360.821B,−1.95%,3.21M,3.218M,3.396M,3.79M
PGDPROCTER & GAMBLE COMPANY (THE),136.42,333.988B,7.16%,11.163M,9.441M,8.931M,8.708M
"HDDHOME DEPOT, INC. (THE)",309.96,329.568B,19.66%,3.246M,3.829M,4.327M,4.46M
DISDWALT DISNEY COMPANY (THE),176.99,321.579B,−12.34%,7.665M,8.858M,9.15M,10.634M
"PYPLDPAYPAL HOLDINGS, INC.",260.6,306.134B,15.26%,5.484M,6.985M,6.984M,8.677M
ASMLDASML HOLDING N.V. - NEW YORK REGISTRY SHARES DR,681.98,282.748B,35.80%,737.472K,834.363K,975.83K,941.576K
CMCSADCOMCAST CORPORATION,56.92,261.507B,2.60%,14.643M,17.281M,17.224M,17.633M
XOMDEXXON MOBIL CORPORATION,61.05,258.458B,0.30%,22.614M,24.895M,25.686M,27.617M
TMDTOYOTA MOTOR CORPORATION DR,180.8,254.001B,21.97%,355.324K,327.263K,319.143K,351.187K
ADBEDADOBE INC.,509.47,243.527B,20.96%,1.963M,1.904M,2.256M,2.396M
ORCLDORACLE CORPORATION,83.94,242.044B,16.32%,10.657M,10.554M,12.352M,12.909M
KODCOCA-COLA COMPANY (THE),56.04,241.627B,8.52%,18.937M,14.813M,15.557M,16.022M
VZDVERIZON COMMUNICATIONS INC.,57.2,236.812B,0.72%,15.356M,17.131M,17.442M,18.605M
INTCDINTEL CORPORATION,57.09,230.529B,−4.61%,20.884M,25.237M,28.884M,29.094M
"CSCODCISCO SYSTEMS, INC.",53.92,227.23B,13.49%,20.598M,20.551M,20.997M,21.258M
CRMDSALESFORCE.COM INC,238.14,220.518B,14.64%,7.895M,6.024M,5.816M,6.483M
"NFLXDNETFLIX, INC.",494.66,219.334B,0.27%,2.833M,3.413M,4.097M,3.95M
"PFEDPFIZER, INC.",38.99,218.254B,13.51%,22.963M,26.997M,27.395M,29.961M
LLYDELI LILLY AND COMPANY,222.52,213.402B,7.48%,4.782M,3.632M,3.593M,3.616M
"NKEDNIKE, INC.",133.95,211.635B,−0.45%,5.783M,5.973M,6.946M,6.555M
CVXDCHEVRON CORPORATION,107.75,208.255B,−1.82%,8.454M,9.676M,9.614M,10.568M
TDAT&T INC.,29.08,207.631B,−3.03%,41.999M,53.893M,47.575M,46.138M
"PEPDPEPSICO, INC.",147.75,204.136B,11.82%,5.074M,4.992M,5.481M,5.608M
NVSDNOVARTIS AG DR,89.67,203.288B,7.09%,2.077M,1.948M,1.867M,1.909M
ABBVDABBVIE INC.,113.01,199.601B,6.50%,8.176M,7.122M,7.16M,7.173M
