,3month_performance,avgvol_10
AAPLDAPPLE INC,8.20%,70.687
MSFTDMICROSOFT CORP.,11.62%,21.585
GOOGDALPHABET INC (GOOGLE) CLASS C,21.83%,1.147
GOOGLDALPHABET INC (GOOGLE) CLASS A,19.67%,1.222
"AMZNDAMAZON.COM, INC.",8.34%,2.426
"FBDFACEBOOK, INC.",31.83%,14.453
BRK.ADBERKSHIRE HATHAWAY INC.,11.85%,1.585
BRK.BDBERKSHIRE HATHAWAY INC. NEW,12.36%,4.326
BABADALIBABA GROUP HOLDINGS LTD. DR,−4.32%,13.603
"TSLADTESLA, INC.",7.48%,25.833
TSMDTAIWAN SEMICONDUCTOR MANUFACTURING COMPANY LTD. DR,3.77%,6
JPMDJP MORGAN CHASE & CO.,8.34%,11.019
VDVISA INC.,5.02%,5.584
NVDADNVIDIA CORPORATION,51.98%,13.565
JNJDJOHNSON & JOHNSON,4.73%,6.782
WMTDWALMART INC.,10.18%,7.674
UNHDUNITEDHEALTH GROUP INCORPORATED,14.30%,2.354
BACDBANK OF AMERICA CORPORATION,16.13%,40.65
MADMASTERCARD INCORPORATED,−1.95%,3.21
PGDPROCTER & GAMBLE COMPANY (THE),7.16%,11.163
"HDDHOME DEPOT, INC. (THE)",19.66%,3.246
DISDWALT DISNEY COMPANY (THE),−12.34%,7.665
"PYPLDPAYPAL HOLDINGS, INC.",15.26%,5.484
ASMLDASML HOLDING N.V. - NEW YORK REGISTRY SHARES DR,35.80%,737.472
CMCSADCOMCAST CORPORATION,2.60%,14.643
XOMDEXXON MOBIL CORPORATION,0.30%,22.614
TMDTOYOTA MOTOR CORPORATION DR,21.97%,355.324
ADBEDADOBE INC.,20.96%,1.963
ORCLDORACLE CORPORATION,16.32%,10.657
KODCOCA-COLA COMPANY (THE),8.52%,18.937
VZDVERIZON COMMUNICATIONS INC.,0.72%,15.356
INTCDINTEL CORPORATION,−4.61%,20.884
"CSCODCISCO SYSTEMS, INC.",13.49%,20.598
CRMDSALESFORCE.COM INC,14.64%,7.895
"NFLXDNETFLIX, INC.",0.27%,2.833
"PFEDPFIZER, INC.",13.51%,22.963
LLYDELI LILLY AND COMPANY,7.48%,4.782
"NKEDNIKE, INC.",−0.45%,5.783
CVXDCHEVRON CORPORATION,−1.82%,8.454
TDAT&T INC.,−3.03%,41.999
"PEPDPEPSICO, INC.",11.82%,5.074
NVSDNOVARTIS AG DR,7.09%,2.077
ABBVDABBVIE INC.,6.50%,8.176
ABTDABBOTT LABORATORIES,−4.87%,10.125
WFCDWELLS FARGO & COMPANY,21.83%,23.104
AVGODBROADCOM INC.,10.10%,1.709
ACNDACCENTURE PLC,13.15%,2.189
"UPSDUNITED PARCEL SERVICE, INC.",32.36%,2.692
"MRKDMERCK & COMPANY, INC.",2.94%,13.759
NVODNOVO NORDISK A/S DR,17.97%,921.137
"TMUSDT-MOBILE US, INC.",12.95%,4.722
BHPDBHP GROUP LIMITED DR,−1.27%,1.496
BBLDBHP GROUP PLCSPONSORED DR,−1.57%,1.674
TMODTHERMO FISHER SCIENTIFIC INC,1.05%,2.449
TXNDTEXAS INSTRUMENTS INCORPORATED,16.31%,4.442
MSDMORGAN STANLEY,14.93%,9.594
MCDDMCDONALD'S CORPORATION,10.80%,2.666
DHRDDANAHER CORPORATION,13.12%,3.294
COSTDCOSTCO WHOLESALE CORPORATION,22.15%,2.388
MDTDMEDTRONIC PLC.,6.25%,5.575
SAPDSAP SE DR,14.50%,459.383
"CDCITIGROUP, INC.",9.82%,16.33
HONDHONEYWELL INTERNATIONAL INC.,9.87%,2.466
ULDUNILEVER PLC DR,12.39%,1.264
PMDPHILIP MORRIS INTERNATIONAL INC,14.13%,3.559
SHOPDSHOPIFY INC.,14.74%,1.018
LINDLINDE PLC,14.94%,1.649
BUDDANHEUSER-BUSCH INBEV SA SPONSORED DR,27.51%,988.522
QCOMDQUALCOMM INCORPORATED,8.21%,6.93
RDS.ADROYAL DUTCH SHELL PLC ROYAL DUTCH SHELL DR,−8.47%,4.964
RDS.BDROYAL DUTCH SHELL PLC DR,−9.25%,3.241
AZNDASTRAZENECA PLC DR,17.04%,6.321
RYDROYAL BANK OF CANADA,15.34%,1.172
UNPDUNION PACIFIC CORPORATION,5.72%,2.593
BADBOEING COMPANY (THE),12.78%,11.404
RIODRIO TINTO PLC DR,5.66%,2.48
BMYDBRISTOL-MYERS SQUIBB COMPANY,7.15%,8.506
"NEEDNEXTERA ENERGY, INC.",2.27%,7.865
SCHWDCHARLES SCHWAB CORPORATION (THE),15.93%,7.066
AMGNDAMGEN INC.,4.12%,2.862
"BLKDBLACKROCK, INC.",26.61%,537.716
RTXDRAYTHEON TECHNOLOGIES CORPORATION,17.67%,5.548
SEDSEA LIMITED DR,24.88%,2.883
"LOWDLOWE'S COMPANIES, INC.",16.78%,3.849
AXPDAMERICAN EXPRESS COMPANY,10.41%,2.886
TDDTORONTO DOMINION BANK (THE),14.16%,1.588
IBMDINTERNATIONAL BUSINESS MACHINES CORPORATION,18.60%,3.44
"GSDGOLDMAN SACHS GROUP, INC. (THE)",16.15%,2.68
LFCDCHINA LIFE INSURANCE COMPANY LIMITED DR,−4.92%,786.997
"CATDCATERPILLAR, INC.",8.20%,2.351
SBUXDSTARBUCKS CORPORATION,6.00%,4.985
SNYDSANOFI DR,12.11%,1.154
